source,target,weight
0x1_0xa6c9f725ed3140b6a89bf5b72690f9498f65d8c6,0x1_0xc00001c3cfcadfd33965a6bedfbc74e0ca01000c,61.27034372085038
0x1_0x2981f3927c93ac67329b0bf5160a7a8bed14bea5,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,41.98374605914697
0x1_0x2981f3927c93ac67329b0bf5160a7a8bed14bea5,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,73.2452797575519
0x1_0x2981f3927c93ac67329b0bf5160a7a8bed14bea5,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,3.4962442990396143
0x1_0xc7f8689d426975ed7f97f304e512f54c0fde8d02,0x1_0x331d6e1a2f6386e3e8fec4dab259473ad1a2fbef,15546.679400208
0x1_0xc7f8689d426975ed7f97f304e512f54c0fde8d02,0x1_0xef7ac9859542ce9add71f49f743be135624df4f5,2596.583396744983
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0xe6334eb8d2368a5248020fb343a3fc7acced8da3,282.92521907040924
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,231.98079170765118
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,468.8843368225161
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,183.6973028431781
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,395.6610205764462
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,353.04437564622697
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,272.63809412478895
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,189.23325163218868
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,205.41905682947277
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,240.16199835483806
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,134.11989171922025
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,156.56143878561363
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,139.1858452701363
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,157.85444855118706
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,135.66639362065987
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,149.4071392902202
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,98.8452944325141
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,104.63326674915747
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,103.16425689003599
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,127.09047450287699
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,77.41901889740593
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,89.17632579078453
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,168.20608528371923
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,186.01822418794075
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,406.7506525260665
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,223.05956464840665
0x1_0x1f6d66ba924ebf554883cf84d482394013ed294b,0x1_0x24f8d8526158bf97de53138d7ec8c6c0833ed526,202.37005006530163
0x1_0x1b49ec2ff08f87a8108db86e32e26dd465db2db3,0x1_0x5d93ee78d80db7824fd77f09d1bc142b7507ddcf,17693.378457257997
0x1_0x70868f0fe4c17392eced8734be8bda110095d1cd,0x1_0x91a4ac39ed13845ae1fc7057b2eda85d885aa531,1753.170191236
0x1_0x70868f0fe4c17392eced8734be8bda110095d1cd,0x1_0x93d2b3847f418ecf61a0d58d88d60082c6cc4986,3415.532289
0x1_0x3e0b81c7b552de2b1c212f8efc163c0fa81ded82,0x1_0x91a4ac39ed13845ae1fc7057b2eda85d885aa531,1034.7812354879998
0x1_0xf89116842ec30c03762ae4845b462739af430fab,0x1_0x41d32ac20ceb0441cab159444af1acc47f3daa1c,210507.68922518
0x1_0x8e445422baa49c7b98645e918577de7d48280384,0x1_0xcb587d69d3efcd1f1ae2eb6fdd63711a7aea1090,3182.4015216189996
0x1_0x8e445422baa49c7b98645e918577de7d48280384,0x1_0xe1908adc8c63529287da7438997e6a77b00a713f,1119.1980102468149
0x1_0xc66cb0b1f6e4573f29a27a046d92bcd704905b22,0x1_0x4982608c819513aef2a1d9a35bd0526e85744007,821.0697284789999
0x1_0xdcb7cb769c5328a5bede5a873c98a26a1e246ccb,0x1_0xa5939091596036833fb13351024d7c649359f507,1498.981892511899
0x1_0xe1b55e9cd4cb2b9e71a25ca6dce010a5aa71ba88,0x1_0x4a718dbc3193c678650b5b693db7bc79b0078bc1,749.0078766471224
0x1_0xe1b55e9cd4cb2b9e71a25ca6dce010a5aa71ba88,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,25.795619738576793
0x1_0xe1b55e9cd4cb2b9e71a25ca6dce010a5aa71ba88,0x1_0x5018c3c0a4404c395bcc757d8cb61e21e9db9a3f,375.6337812968521
0x1_0xe1b55e9cd4cb2b9e71a25ca6dce010a5aa71ba88,0x1_0xe000008459b74a91e306a47c808061dfa372000e,95.57627359049096
0x1_0xe1b55e9cd4cb2b9e71a25ca6dce010a5aa71ba88,0x1_0x3520484355a69de270a4cd4283abfdfc70968e90,1498.0023551267675
0x1_0xe98ad7c8eae006c6db602691f1ba9c8a85bbdc3a,0x1_0x869e0f06822726a76fcaa5985395cb1289a3ad9f,831.3263950542823
0x1_0xe98ad7c8eae006c6db602691f1ba9c8a85bbdc3a,0x1_0x0e1e1fde4b509104fe9b40df7ab925c0d831a8ac,1311.816448391422
0x1_0xe98ad7c8eae006c6db602691f1ba9c8a85bbdc3a,0x1_0x179b8d1b00b55ffc9d68452b6fead193ca84f705,419.70653246581935
0x1_0xe98ad7c8eae006c6db602691f1ba9c8a85bbdc3a,0x1_0x2d353917e7bbc43d756443601fee7ebbf0003571,303.0300319456111
0x1_0xe98ad7c8eae006c6db602691f1ba9c8a85bbdc3a,0x1_0x2d353917e7bbc43d756443601fee7ebbf0003571,181.75590117481093
0x1_0x0715045336e86dd2d32bde1f9645f38031933173,0x1_0x9c722a3c1144912ff23f3f634d2876ef40d6401d,87.255045424391
0x1_0x0715045336e86dd2d32bde1f9645f38031933173,0x1_0x24b63323a9693d36507eff7ddd50636cd816d3c9,21.960735320589997
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xc00001c3cfcadfd33965a6bedfbc74e0ca01000c,3094.866291111427
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xc00001c3cfcadfd33965a6bedfbc74e0ca01000c,2196.5238328870696
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xa5939091596036833fb13351024d7c649359f507,694.1809352179732
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0x6162a4b3ff9f7c10208d31e082909b6a1c59a5fd,3401.904464560273
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0x0e1e1fde4b509104fe9b40df7ab925c0d831a8ac,18918.93657327057
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,2259.151731251338
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,72.43688377765528
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0x2d353917e7bbc43d756443601fee7ebbf0003571,5084.757322984856
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xadeb5a75f3fad068cc46384a4d4b7a7e01fedb2f,3034.856224982864
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0x90ac42bb10e379b3c7bc60cff7607b6ec46ff25d,14766.338024672294
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xf59ff8f5ac5d50cf5373f2df103af32a51cb73be,3063.4774880034274
0x1_0xf34f1bcfa4bf62bac891af57e1cc1d4c068e9790,0x1_0xd8bbc45fce78521c4c96ef27721a6d42cb9fb568,1374.1304745968635
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,915.4046517676945
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,1571.1102647978469
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,915.4046517676945
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,1187.3786330690336
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0x5a3235750138863849dec769f590b67832b8a2df,5100.196592008041
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0x5a3235750138863849dec769f590b67832b8a2df,5056.730788031093
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xae3cd216ca48db9e90b83e4c4620d809dcb247ad,3419.7253887876695
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xca8142a2e2f850a20c695204f764c7eba9886f08,3246.431749286966
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,2510.4876716682875
0x1_0x329b370a989d4cf02004219e4976206e34cfb4f1,0x1_0xadeb5a75f3fad068cc46384a4d4b7a7e01fedb2f,915.4046517676945
0x1_0xc274d870c79cd439eb44a1ac1b8f2a100026865a,0x1_0x68170ed137f215084f3e59421fd018ec32d3cc5a,14957.42597618753
0x1_0x5e48e5cc5e68d11526b75431641431df4a3a5e23,0x1_0x379597fb50c29fe8db4a7b7cec44cc3b9c90b035,245.71011808440431
0x1_0x5e48e5cc5e68d11526b75431641431df4a3a5e23,0x1_0x8e6cf3734bc9f1262ea6688bdb5b29bbb5acbac1,1261.9299258527426
0x1_0x5e48e5cc5e68d11526b75431641431df4a3a5e23,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,58.99072685344211
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0xda279aade828a39aa07a76b2f82e66332e1903b3,945.8013198820894
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x54870bfc2b65fc4a4766e60aeccf50537fc48241,1343.3412622040094
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x809c32ce14545bfbb853f86ab7c155446faa9edc,892.1820144997912
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x809c32ce14545bfbb853f86ab7c155446faa9edc,1304.7286523000494
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1573.576261492936
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1269.965348680419
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1241.5823535310437
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,753.6936495452128
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,579.5309228757076
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,533.6566220028457
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,728.5874249814427
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1101.5105402518222
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1201.0647698670032
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,935.5892518189876
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x5a3235750138863849dec769f590b67832b8a2df,1560.3710268963937
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x356f9383566e6d16fb49e0dca830b5aa04d57259,1871.4623033032378
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,983.2005788539152
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,824.7367656644333
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,679.9023682206832
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,415.6150814398685
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,381.25460117298167
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,322.207245916491
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,216.54028875540396
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,255.3600953245877
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,134.98435590026298
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,93.81040378556948
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,153.66557967078973
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,100.94466521515956
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,176.85211943716124
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,112.89438855983542
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,104.44424686857543
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,66.21416163045586
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,116.04919880993803
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,148.98266153425416
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,151.59112170308458
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,321.34051290811556
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,293.60029624187365
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,331.71640993554524
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,352.5686612917607
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,349.91667374918524
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,203.26860951910933
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,389.55349545969506
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,352.85506536051724
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,330.45328443701453
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,304.4255663693526
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,301.9265544571072
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,260.48415457383356
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,148.0931225340359
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,205.38298374503256
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,368.13113790106354
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,724.7918546857129
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,750.3032428633026
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,800.6134255033966
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,700.3824593517443
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,692.8465113017048
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,1029.4701252525895
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,1272.8560478176269
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,796.2405018356856
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,797.9591701661702
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,1124.3016564449601
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,1119.0710451928965
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,846.4740304057837
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,632.2971196547127
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,557.508469967035
0x1_0xf165fc6bd6a2ee937ab77311d1078f16711cf007,0x1_0x9cc68a0947d8be38ec7c3504ea31a09a26b7f441,558.9459341427104
